,0
995801084,4
995803175,0
995808774,0
995812894,1
995819357,3
995820083,3
995861594,1
995865364,1
995865917,0
995873736,1
995890706,0
995891066,0
995891083,0
995906470,4
995919212,2
995945223,4
995967320,3
995967490,4
995971582,0
995975261,3
995981188,1
995981948,3
995991814,1
996009126,0
996009530,3
996017053,0
996033259,0
996035505,0
996053524,0
996056735,0
996081596,1
996104280,1
996105125,0
996111241,0
996112379,0
996112672,1
996115049,4
996115946,0
996119198,3
996122442,3
996129342,0
996133164,3
996135587,4
996158260,4
996160701,1
996164431,3
996166087,0
996166976,3
996168245,4
996168513,0
996170662,0
996177261,0
996178506,0
996188597,0
996190915,0
996197654,0
996197983,0
996199356,0
996206963,4
996208313,3
996209076,0
996221880,1
996223311,0
996224746,3
996225190,3
996234238,2
996252047,4
996257272,4
996264729,0
996264821,0
996265481,0
996267173,3
996269262,0
996274238,3
996286336,0
996293184,4
996293911,3
996300992,3
996305166,2
996316451,1
996320974,3
996339742,4
996365499,1
996367487,4
996379656,1
996379783,3
996385291,4
996395294,1
996399390,4
996400960,2
996404838,4
996406135,0
996406453,3
996411440,0
996415237,3
996421252,0
996423339,3
996433967,0
996434515,4
996442074,0
996443543,3
996447159,1
996448627,3
996457615,4
996474644,2
996491505,0
996495066,0
996508833,0
996514990,3
996524491,1
996542641,4
996550359,1
996559116,0
996574464,1
996574670,3
996600895,0
996602086,1
996602158,2
996605898,2
996617675,1
996624028,3
996628952,0
996635522,3
996637170,3
996680854,0
996692629,3
996707625,4
996735179,4
996758564,3
996759503,0
996792131,1
996807385,1
996809739,3
996810344,4
996826775,4
996834124,3
996836817,4
996879986,3
996891680,0
996897100,1
996903302,0
996919424,3
996934177,3
996936947,4
996948707,3
996949567,3
996950973,4
996951325,4
996959101,3
996974357,3
996976340,4
996993502,4
996994657,3
996996462,0
996996922,0
996997777,0
997001383,4
997009011,1
997016175,0
997020699,0
997024059,0
997033066,3
997035308,1
997041608,0
997042775,0
997045077,0
997048082,0
997049401,3
997052196,1
997053233,0
997066378,0
997071694,4
997078640,3
997080451,0
997081801,0
997088581,3
997089449,0
997097362,1
997114316,1
997125857,1
997127823,4
997131065,0
997137990,0
997138576,4
997139221,4
997140476,4
997141865,0
997144416,2
997158893,0
997161399,1
997166464,0
997171504,2
997178258,3
997179898,4
997184309,0
997197909,0
997198185,3
997204527,0
997208711,0
997210545,2
997214349,0
997219785,3
997223949,3
997225049,1
997227277,0
997229624,0
997241939,3
997249502,0
997253498,1
997255337,2
997255886,2
997272418,0
997280537,0
997280942,0
997281923,0
997285155,1
997297512,3
997298359,4
997302309,4
997307279,0
997313904,0
997319478,3
997328494,0
997329797,1
997333541,0
997333681,4
997334022,0
997341583,3
997343465,0
997354466,1
997355085,4
997355727,1
997359319,4
997364692,0
997371435,3
997371851,1
997374477,1
997380589,3
997382846,2
997383135,3
997385940,0
997390882,1
997394796,4
997400050,0
997405531,0
997405799,1
997410506,0
997413276,1
997419522,0
997421997,0
997423817,4
997429002,0
997431568,1
997444676,0
997449896,2
997456489,1
997460969,3
997461137,3
997464444,0
997465311,0
997466159,0
997468414,4
997471051,3
997473539,4
997481613,0
997482245,0
997482623,0
997483938,3
997486752,0
997492129,4
997499154,0
997499290,1
997501740,0
997502948,0
997506065,3
997506768,0
997507595,0
997516115,0
997517490,4
997519469,3
997522248,0
997528003,0
997528344,1
997534467,1
997535024,0
997542011,1
997547589,4
997556105,0
997560949,0
997561271,0
997570137,4
997570406,1
997580680,0
997589943,0
997593771,0
997600227,0
997600416,1
997611937,3
997612026,4
997613355,0
997619752,3
997619788,4
997621233,1
997633983,4
997636866,0
997655361,1
997662449,4
997665685,4
997672485,3
997675900,3
997678299,1
997680317,4
997682507,1
997687829,4
997709835,0
997714053,3
997721554,4
997722605,0
997728500,0
997728860,0
997732181,0
997734786,3
997734968,1
997741872,0
997746394,0
997748501,1
997758289,3
997760978,0
997767448,1
997772150,0
997795011,2
997795891,3
997799217,0
997800150,4
997811453,4
997813283,0
997817501,3
997824193,1
997829487,3
997830506,3
997857168,4
997860533,1
997865069,0
997868314,4
997871402,4
997878849,0
997879380,1
997884404,1
997888134,4
997891824,3
997892705,3
997894966,3
997903577,1
997918493,3
997927705,0
997929786,0
997930787,0
997931944,0
997934638,4
997939044,1
997939080,2
997956315,3
997958615,0
997975911,3
997977429,3
997988257,1
997998594,3
998008613,1
998012487,4
998025736,3
998030111,3
998030294,1
998042262,0
