爬取时间,video_aid,标题,up_name,up_id,硬币数,弹幕数,点踩数,收藏数,点赞数,评论数,分享数,播放数
1677246812.5850024,566888324,直通车广泛匹配和精准匹配哪个更好？有什么区别？,照顾酱,389838895,12,0,0,23,35,5,3,958
1677246852.2409043,394420559,遴选92.6分的答案，希望对备考公务员面试的大家有帮助,公考面试考官说,1485409299,579,6,0,1121,887,54,88,39413
1677246860.6406841,309380488,《狂飙》高启强失败的3个原因,老A讲晋升,1029508158,19,1,0,23,79,7,5,1377
1677246882.189543,351940405,用char函数快速填充26字母,Excel办公自动化,387418363,0,0,0,14,22,0,0,299
1677246887.525514,736890904,看丁元英这个高人是如何用人性来布局#天道 #,公务员干货,491307403,4,0,0,38,85,3,9,1689
1677246938.2976365,864389484,00后，90后，80后打工人到底有啥区别？你被说中了嘛？,职场教练Echo,1612114484,2,0,0,5,20,3,0,569
1677246946.6565874,991911057,职场上吃的开的几种人,许林芳管理思维,1226380111,24,1,0,272,394,15,40,10504
1677246973.2103422,481969012,打工容易把人变废，2个办法解决,马尔西本人,109912227,15,0,0,39,75,9,8,938
1677246978.5621805,479391755,老板让我制作工资条模板，我不会，同事用Vlookup函数3分钟就搞定,Excel从零到一,13868436,23,1,0,114,168,15,7,1978
1677247001.1064813,949496854,一招鲜吃遍天！用一套自我介绍公式，搞定所有面试官！,马力在知群,543931674,53,2,0,341,232,6,9,4368
1677247033.6861403,309403222,天坑专业难找工作？土木/建筑/水利转行实录,LinkedIn领英中国,18595728,47,161,0,170,133,20,51,6031
1677247078.4506748,266909862,复杂数据快速排版,小伟教你学Excel办公Word,423987818,0,0,0,7,19,0,1,143
1677247409.6456344,481897140,大学生们，up主是你最大的出路,Larry想做技术大佬,19873195,4055,547,0,16473,28252,904,2805,327709
1677247438.1449342,736900950,excel数据求和、核对、分析...看到第四个技巧，我哭了~,秋叶Excel,480423911,34,0,0,346,285,5,34,3028
1677247448.5571618,394434375,图像处理终于有国家认可的职业技能等级证书啦！中级报考已开启！,李涛PS,85651824,7,1,0,76,110,11,9,5717
1677247470.0364301,694455420,消毒机工作原理硬核剖解，不要眨眼哦，看完这不轻松拿捏 ！,华宇万维,109630783,0,1,0,8,36,2,2,365
1677247470.3652117,524378210,广东某市地震局事业编，月薪8000，年终1.5W，了解一下？,一不小心哥,574298442,73,21,0,99,385,196,82,44897
1677247487.8344197,609444512,这就是人性，了解一下！,野生ceo大宝,430372013,49,27,0,290,1538,67,55,18877
1677247494.2323685,309283177,体制内自媒体选题技巧｜小白自媒体指南｜从零开始做账号,做一只精致滴猪猪女孩,388433315,4,0,0,13,15,0,0,254
1677247507.694939,906896174,2023年淘系补单还有用吗？,老吴运营日记,470909303,4,0,0,6,25,6,3,2140
1677247539.3629258,479463990,2023陕西事业单位考试—削弱角度之因果倒置,陕西中公教育,388684610,1,0,0,1,9,0,0,28
1677247620.3653953,394489440,存在感最低的专业之一!江苏二本，海洋技术专业，毕业3年后的真实人生,那些无名之辈,295347600,41,95,0,87,1205,229,110,36113
1677247623.7035108,736983456,认识公式-Excel函数入门到实战制作自动化报表模板之(一),Excel办公自动化,387418363,6,0,0,71,23,0,1,1145
