播放时长,标签个数,硬币数,弹幕数,收藏数,点赞数,评论数,分享数,up等级,up粉丝数,up投稿数,up平均每个视频播放量,up平均每个视频点赞数,存留时长,标签平均每个视频订阅数,up在最热前500条评论的回复率,up在最热前500条评论的点赞率,最热前500条评论中平均每条评论的回复数,最热前500条评论中平均每条评论的点赞数,是否原创_2,是否合作_1,有无简介_0,有无广告_1,弹幕模式_1.0,弹幕模式_2.0,弹幕模式_3.0,弹幕模式_4.0,标题样式_！,标题样式_？,24h播放增量
354,9,3519,639,1936,18238,782,1991,6.0,318054.0,119.0,-0.0084033613445378,-0.0084033613445378,2.208587962962963,0.7054293415479399,0.0,0.0,0.5907258064516129,19.600806451612904,0,0,0,0,0,0,1,0,1,0,27568.0
100,11,1353,235,8191,28576,843,520,6.0,559600.0,299.0,-0.0033444816053511,-0.0033444816053511,2.2105324074074075,0.0805096232041203,0.0,0.0,2.0476190476190474,21.936507936507937,0,0,1,0,0,0,0,0,1,0,48454.0
117,7,8143,584,4410,39061,729,357,2.0,145077.0,4.0,-0.25,-0.25,2.2116550925925926,0.5199551786628301,0.0,0.0,0.32,26.804,0,0,0,0,0,0,0,0,0,0,20540.0
246,11,2276,816,3200,42648,390,842,6.0,2049676.0,140.0,-0.0071428571428571,-0.0071428571428571,2.217326388888889,0.3731196270321911,0.0,0.0,0.2675585284280936,10.17056856187291,0,0,0,0,0,0,0,0,0,0,30293.0
461,11,15610,1820,8581,24977,2025,2545,4.0,14795.0,12.0,-0.0833333333333333,-0.0833333333333333,2.224201388888889,0.4687742891007346,0.0,0.0,1.7935871743486973,18.93186372745491,0,0,0,0,0,0,0,0,1,0,55591.0
663,6,5848,868,1578,24792,683,334,6.0,1173516.0,477.0,-0.0020964360587002,-0.0020964360587002,2.231076388888889,0.0529632937600725,0.0,0.0,0.4383838383838384,9.3010101010101,0,0,0,0,0,0,0,1,1,0,36300.0
721,10,2414,3712,6278,36131,1501,2015,6.0,397755.0,114.0,-0.0087719298245614,-0.0087719298245614,2.2336805555555554,0.2199143198103817,0.0,0.0,4.388773388773389,63.15592515592515,0,0,0,0,0,0,1,0,0,1,233019.0
68,5,770,255,1327,20263,225,1174,5.0,3161.0,213.0,-0.0046948356807511,-0.0046948356807511,2.237673611111111,0.2234617781045251,0.0,0.0,0.2234636871508379,7.921787709497207,0,0,0,0,0,0,1,0,0,0,30852.0
228,11,1936,1594,3215,85884,2688,2522,6.0,755623.0,72.0,-0.0138888888888888,-0.0138888888888888,2.259502314814815,0.4786613086755854,0.0,0.0,2.86,47.432,0,0,1,0,0,0,0,0,0,1,252908.0
205,4,3576,1163,2168,85161,1522,799,6.0,755380.0,132.0,-0.0075757575757575,-0.0075757575757575,2.266203703703704,0.0127385571266815,0.0,0.0,0.854,45.936,0,0,1,0,0,0,0,0,0,0,157909.0
71,8,1530,403,1890,110931,504,335,6.0,1460259.0,88.0,-0.0113636363636363,-0.0113636363636363,2.276759259259259,0.1232961586121437,0.0,0.0,0.8275862068965517,33.748275862068965,0,0,0,0,0,0,0,0,0,0,105885.0
263,9,3806,355,1603,16145,614,425,2.0,907.0,6.0,-0.1666666666666666,-0.1666666666666666,2.2876273148148147,0.7196632201554891,0.0,0.0,0.8226744186046512,9.130813953488373,0,0,0,0,0,0,0,0,0,0,59338.0
135,9,1099,334,3561,43870,147,3142,6.0,1684293.0,303.0,-0.0033003300330033,-0.0033003300330033,2.2927430555555555,0.3195107435041864,0.0,0.0,0.5567010309278351,13.639175257731958,0,0,0,0,1,0,0,0,1,0,50302.0
244,11,8784,2142,2082,25997,1766,2153,6.0,745279.0,564.0,-0.00177304964539,-0.00177304964539,2.298703703703704,0.3764252025336934,0.0,0.0,2.132,26.096,0,0,0,0,0,0,0,1,0,0,30741.0
373,9,4823,794,3544,29167,2620,2336,6.0,1291575.0,1599.0,-0.0006253908692933,-0.0006253908692933,2.305810185185185,0.1616705698672911,0.0,0.0,2.655310621242485,12.831663326653306,0,0,0,0,0,0,0,1,1,0,37659.0
77,11,1636,653,7445,89116,723,3625,6.0,138173.0,52.0,-0.0192307692307692,-0.0192307692307692,2.308472222222222,0.1013162212337478,0.0,0.0,0.2669584245076586,10.982494529540482,0,0,1,0,1,0,0,0,0,0,458609.0
